full_date,date,weekday,time,mood,activities,scales,note_title,note
2024-01-01,January 1,Monday,19:30,good,nap | gaming | gym | commute | concert | budgeting | tea | work | sketching | doctor,Sleep quality: 2/5,,Today was bit of a struggle with motivation. Overall a decent day. Today was nice evening cooking dinner. Looking forward to tomorrow.
2024-01-02,January 2,Tuesday,21:14,meh,gym | cooking | gaming | podcast | party | haircut | run | tea | cleaning | groceries,Sleep quality: 3/5,,Spent most of the day relaxing afternoon with a book. Overall a decent day.
2024-01-03,January 3,Wednesday,21:56,meh,laundry | nap | rain | sunny | board-games | groceries,Sleep quality: 4/5,,Today was long walk that helped clear my head. Trying to keep a steady routine.
2024-01-04,January 4,Thursday,21:34,bad,board-games | commute | rain | gaming | date-night | call-family | friends | car-maintenance | swim,Sleep quality: 5/5,,Spent most of the day relaxing afternoon with a book. Grateful for the small things. Started the morning with stressful meeting that ran long. Hoping next week is calmer.
2024-01-05,January 5,Friday,19:58,good,walk | groceries | sunny | yoga | haircut | sketching | laundry | party,Sleep quality: 2/5,,Feeling like slow start but it picked up. Trying to keep a steady routine. Had a productive stretch of focused work. Grateful for the small things. Had a productive stretch of focused work. Could have been better honestly.
2024-01-06,January 6,Saturday,23:12,good,language-practice | music | reading | travel | museum,Sleep quality: 2/5,,Had a quiet day at home. Hoping next week is calmer. Feeling like good session at work. Grateful for the small things.
2024-01-08,January 8,Monday,20:20,rad,car-maintenance | movie | gaming | bike | walk | gardening | wine | tea,Sleep quality: 2/5,,
2024-01-09,January 9,Tuesday,20:07,good,hike | work | run | walk | music | rain | meditation | family,Sleep quality: 2/5,,Ended up slow start but it picked up. Trying to keep a steady routine.
2024-01-10,January 10,Wednesday,20:32,good,tea | movie | language-practice | gym | call-family | sketching | gardening | family | museum | dentist,Sleep quality: 3/5,,
2024-01-11,January 11,Thursday,23:35,good,cleaning | groceries | meditation | gym | rain | dentist | car-maintenance | call-family | museum,Sleep quality: 5/5,,A pretty productive stretch of focused work. Grateful for the small things. A pretty productive stretch of focused work. Grateful for the small things.
2024-01-12,January 12,Friday,21:42,meh,groceries | shopping | travel | volunteering,Sleep quality: 3/5,,Had a quiet day at home. Grateful for the small things.
2024-01-13,January 13,Saturday,21:16,good,dentist | meditation | shopping | date-night | coffee | wine | tea | guitar | walk | meeting,Sleep quality: 1/5,,Feeling like catch-up with an old friend. Need more sleep tonight. Today was busy day running errands. Could have been better honestly.
2024-01-14,January 14,Sunday,22:39,good,groceries | call-family | cleaning | guitar | meeting | sunny | bike | friends,Sleep quality: 3/5,,
2024-01-15,January 15,Monday,21:58,good,laundry | friends | cleaning | walk | rain,Sleep quality: 5/5,,Spent most of the day good session at work. Overall a decent day. Ended up slow start but it picked up. Could have been better honestly.
2024-01-16,January 16,Tuesday,23:59,good,board-games | nap | swim | haircut | commute | wine | travel | date-night | shopping | party,Sleep quality: 2/5,,
2024-01-17,January 17,Wednesday,19:17,good,guitar | budgeting | walk | language-practice | coffee | run | swim | call-family | museum | podcast,Sleep quality: 3/5,,
2024-01-18,January 18,Thursday,21:26,good,travel | rain | gaming | language-practice | sketching | date-night | coffee | cleaning | wine | budgeting,Sleep quality: 1/5,,Ended up quiet day at home. Need more sleep tonight. Today was busy day running errands. Trying to keep a steady routine. Managed to get through stressful meeting that ran long. Hoping next week is calmer.
