full_date,date,weekday,time,mood,activities,scales,note_title,note
2024-01-01,January 1,Monday,19:30,good,nap | gym | concert | budgeting | tea | work | sketching | doctor | meditation | yoga,Sleep quality: 2/5,,Today was bit of a struggle with motivation. Overall a decent day. Today was nice evening cooking dinner. Looking forward to tomorrow.
2024-01-02,January 2,Tuesday,21:14,meh,gym | cooking | podcast | party | haircut | run | tea | cleaning | groceries | yoga | commute,Sleep quality: 3/5,,Spent most of the day relaxing afternoon with a book. Overall a decent day.
2024-01-03,January 3,Wednesday,21:56,meh,laundry | nap | rain | sunny | board-games | groceries | hike | yoga | commute,Sleep quality: 4/5,,Today was long walk that helped clear my head. Trying to keep a steady routine.
2024-01-04,January 4,Thursday,21:34,bad,board-games | commute | rain | date-night | call-family | friends | car-maintenance | swim,Sleep quality: 5/5,,Spent most of the day relaxing afternoon with a book. Grateful for the small things. Started the morning with stressful meeting that ran long. Hoping next week is calmer.
2024-01-05,January 5,Friday,19:58,good,walk | groceries | sunny | yoga | haircut | sketching | laundry | party,Sleep quality: 2/5,,Feeling like slow start but it picked up. Trying to keep a steady routine. Had a productive stretch of focused work. Grateful for the small things. Had a productive stretch of focused work. Could have been better honestly.
2024-01-06,January 6,Saturday,23:12,good,language-practice | music | reading | travel | museum | meditation | commute,Sleep quality: 2/5,,Had a quiet day at home. Hoping next week is calmer. Feeling like good session at work. Grateful for the small things.
2024-01-08,January 8,Monday,20:20,rad,car-maintenance | movie | bike | walk | gardening | wine | tea | commute,Sleep quality: 2/5,,
2024-01-09,January 9,Tuesday,20:07,good,work | run | walk | music | rain | family | commute,Sleep quality: 2/5,,Ended up slow start but it picked up. Trying to keep a steady routine.
2024-01-10,January 10,Wednesday,20:32,good,tea | movie | language-practice | gym | call-family | sketching | gardening | family | museum | dentist | meditation | yoga | commute,Sleep quality: 3/5,,
2024-01-11,January 11,Thursday,23:35,good,cleaning | groceries | gym | rain | dentist | car-maintenance | call-family | museum | yoga | commute,Sleep quality: 5/5,,A pretty productive stretch of focused work. Grateful for the small things. A pretty productive stretch of focused work. Grateful for the small things.
2024-01-12,January 12,Friday,21:42,meh,groceries | shopping | travel | volunteering | commute,Sleep quality: 3/5,,Had a quiet day at home. Grateful for the small things.
2024-01-13,January 13,Saturday,21:16,good,dentist | shopping | date-night | coffee | wine | tea | guitar | walk | meeting | yoga | commute,Sleep quality: 1/5,,Feeling like catch-up with an old friend. Need more sleep tonight. Today was busy day running errands. Could have been better honestly.
2024-01-14,January 14,Sunday,22:39,good,groceries | call-family | cleaning | guitar | meeting | sunny | bike | friends,Sleep quality: 3/5,,
2024-01-15,January 15,Monday,21:58,good,laundry | friends | cleaning | walk | rain | hike | yoga | commute,Sleep quality: 5/5,,Spent most of the day good session at work. Overall a decent day. Ended up slow start but it picked up. Could have been better honestly.
2024-01-16,January 16,Tuesday,23:59,good,board-games | nap | swim | haircut | commute | wine | travel | date-night | shopping | party | yoga,Sleep quality: 2/5,,
2024-01-17,January 17,Wednesday,19:17,good,guitar | budgeting | walk | language-practice | coffee | run | swim | call-family | museum | podcast | yoga | commute,Sleep quality: 3/5,,
2024-01-18,January 18,Thursday,21:26,good,travel | rain | language-practice | sketching | date-night | coffee | cleaning | wine | budgeting | commute,Sleep quality: 1/5,,Ended up quiet day at home. Need more sleep tonight. Today was busy day running errands. Trying to keep a steady routine. Managed to get through stressful meeting that ran long. Hoping next week is calmer.
2024-01-19,January 19,Friday,20:15,meh,meeting | language-practice | museum | sketching | budgeting | run | groceries | journaling | yoga | commute,Sleep quality: 3/5,,
2024-01-20,January 20,Saturday,00:20,good,dentist | nap | board-games | friends | yoga | commute,Sleep quality: 2/5,,A pretty nice evening cooking dinner. Overall a decent day.
2024-01-21,January 21,Sunday,22:29,bad,haircut | music | dentist | date-night | friends | laundry | doctor | tea,Sleep quality: 1/5,,
2024-01-22,January 22,Monday,22:02,good,dentist | meeting | family | nap | swim | journaling | board-games | gaming | yoga | commute,Sleep quality: 3/5,,
2024-01-23,January 23,Tuesday,21:11,bad,sunny | doctor | work | language-practice | tea | movie | yoga,Sleep quality: 1/5,,
2024-01-24,January 24,Wednesday,23:49,rad,wine | date-night | concert | tea | rain | yoga,Sleep quality: 3/5,,Ended up relaxing afternoon with a book. Trying to keep a steady routine.
2024-01-25,January 25,Thursday,19:39,good,language-practice | music | coffee | work | yoga | commute,Sleep quality: 3/5,,Managed to get through productive stretch of focused work. Overall a decent day. Today was nice evening cooking dinner. Not much else to report. Started the morning with bit of a struggle with motivation. Trying to keep a steady routine.
2024-01-26,January 26,Friday,19:34,bad,reading | rain | guitar | travel | baking | commute | museum | sketching | yoga,Sleep quality: 5/5,,Started the morning with relaxing afternoon with a book. Looking forward to tomorrow. Feeling like nice evening cooking dinner. Could have been better honestly.
2024-01-27,January 27,Saturday,23:48,awful,cleaning | gym | party | rain | bike | concert | language-practice | nap | car-maintenance | volunteering | board-games | meditation,Sleep quality: 5/5,,A pretty quiet day at home. Trying to keep a steady routine.
2024-01-28,January 28,Sunday,22:03,good,podcast | tea | board-games | concert | work | family | meditation | commute,Sleep quality: 5/5,,Ended up long walk that helped clear my head. Hoping next week is calmer.
2024-01-29,January 29,Monday,20:27,good,reading | rain | budgeting | meeting | sketching | tea | music | call-family | meditation | commute,Sleep quality: 3/5,,Had a nice evening cooking dinner. Looking forward to tomorrow. Feeling like stressful meeting that ran long. Trying to keep a steady routine. Ended up stressful meeting that ran long. Trying to keep a steady routine.
2024-01-30,January 30,Tuesday,22:00,rad,nap | sunny | swim | date-night | museum | commute,Sleep quality: 3/5,,A pretty quiet day at home. Looking forward to tomorrow.
2024-01-31,January 31,Wednesday,23:34,good,reading | coffee | call-family | yoga | travel | shopping | laundry | concert | commute,Sleep quality: 2/5,,Started the morning with nice evening cooking dinner. Need more sleep tonight. Had a relaxing afternoon with a book. Hoping next week is calmer.
2024-02-01,February 1,Thursday,21:55,good,run | nap | car-maintenance | budgeting | shopping | walk | yoga | commute,Sleep quality: 5/5,,Spent most of the day tired but satisfied kind of day. Not much else to report.
2024-02-03,February 3,Saturday,21:21,good,meeting | volunteering | journaling | board-games | run | gym | gardening | walk | sketching | concert | yoga | commute,Sleep quality: 3/5,,Ended up fun night out that lifted my mood. Hoping next week is calmer.
2024-02-04,February 4,Sunday,20:01,good,tea | concert | coffee | rain | museum | music | movie | reading | doctor | gaming,Sleep quality: 2/5,,Spent most of the day quiet day at home. Trying to keep a steady routine. Feeling like busy day running errands. Hoping next week is calmer.
2024-02-05,February 5,Monday,23:51,good,yoga | museum | wine | call-family | laundry | gaming | commute,Sleep quality: 3/5,,
2024-02-06,February 6,Tuesday,03:05,good,doctor | baking | guitar | movie | budgeting | bike,Sleep quality: 5/5,,Ended up tired but satisfied kind of day. Not much else to report. Feeling like bit of a struggle with motivation. Could have been better honestly.
2024-02-07,February 7,Wednesday,21:31,meh,guitar | sunny | gym | coffee | walk | yoga | run | nap | budgeting | sketching | meditation | commute,Sleep quality: 3/5,,
2024-02-08,February 8,Thursday,22:31,rad,coffee | cooking | laundry | movie | yoga | commute,Sleep quality: 3/5,,A pretty relaxing afternoon with a book. Trying to keep a steady routine. Spent most of the day relaxing afternoon with a book. Grateful for the small things.
